"dummy","dummy"
"Registration was successful. Excel is now linked to your store. The service is now being set up for the first use. This process can take some time. Once done,  you will receive an email with further information.","Rejestracja zakończyła się sukcesem. Excel jest teraz powiązany z Twoim sklepem. Usługa jest teraz konfigurowany do pierwszego użycia. Ten proces może zająć chwilę. Kiedy zostanie to zakończone, otrzymasz email z dalszymi informacjami."
".htaccess",".htaccess"
".htaccess user","Użytkownik"
".htaccess password","Hasło"
"CobbyVersion","Wersja"
"General Settings","Ustawienia ogólne"
"License key","Klucz licencji"
"The license key will be sent via email.","Klucz licencji zostanie wysłany przez maila"
"Contact Email","Email kontaktowy"
"All cobby notifications will be sent to the Contact Email.","Wszytkie powiadomienia z cobby będą wysyłane na podany kontaktowy adres email."
"Notifictaions for rebuilt indexes, Errors,  available cobby Updates and more will be sent to this Email. No Newsletter or commercials.","Powiadomienia o odbudowanych indeksach, błędach, dostępnych aktualizacjach cobby oraz innych będą przesyłane na ten adres email. Żadnych Newsletterów, albo reklam."
"Choose Web Service User","Wybierz Użytkownika serwisu"
"Use Existing","Użyj istniejące"
"Create New","Stwórz nowe"
"Use an existing webservice user with ACL right for cobby or create a new user.","Użyj istniejącego Użytkownika z ACL odpowienim dla cobby, albo stwórz nowego Użytkownika."
"User Name","Nazwa użytkownika"
"API Key","Klucz API"
"Only users with ACL for cobby will be shown.","Tylko Użytkownicy z ACL dla cobby będą wyświetlani."
"Fill in the API key of the chosen user.","Wpisz klucz API dla wybranego Użytkownika."
"The API Key is the password for this user.","Klucz API jest hasłem dla tego używkownika"
"User Email","Email użytkownika"
"It is not necessary to provide an existing Email. No Mails will be sent.","Podawanie istniejącego adresu email nie jest konieczne. Żadne maile nie zostaną wysłane."
"Advanced","Zaawansowane"
"Overwrite Images","Nadpisz obrazki"
"Overwrite existing images with same names to prevent creation of duplicates.","Nadpisz istniejące obrazki o tych samych nazwach, aby zapobiec powstawaniu duplikatów."
"Clear Cache","Wyczyść cache"
"Clears external cache engines (e.g. Varnish) after product upload. Clears just affected entries. Takes longer especially with product links and many category associations.","Opróżnij zewnętrzne silniki cachujące (np. Varnish) po wgraniu Produktów. Opróżnianie zmodyfikowało wpisy. Trwa to dłużej, szczególnie z linkami  produktów i wieloma powiązaniami między kategoriami."
"Enable logging to collect errors in <strong>Mash2_Cobby.log</strong>","Włącz logowanie, aby zapisywać błędy w <strong>Mash2_Cobby.log</strong>"
"Enable debug logging to also collect debug information in <strong>Mash2_Cobby.log</strong>","Włącz logowanie debugowania, aby także dane debugowania były zapisywane w <strong>Mash2_Cobby.log</strong>"
"Click <a href="%s">here</a> to set up your account.","Naciśnij <a href="%s">tutaj</a>, aby utworzyć konto."
"cobby Index","cobby"
"cobby Sync Index","Wykonaj indeksację, aby połączyć się z usługą cobby."
